home_team,away_team,home_score,away_score
Morocco,Comoros,2,0
Mali,Zambia,1,1
Egypt,Zimbabwe,2,1
South Africa,Angola,2,1
Nigeria,Tanzania,2,1
Tunisia,Uganda,3,1
Senegal,Botswana,3,0
DR Congo,Benin,1,0
Algeria,Sudan,3,0
Burkina Faso,Equatorial Guinea,2,1
Ivory Coast,Mozambique,1,0
Cameroon,Gabon,1,0
Morocco,Mali,1,1
Zambia,Comoros,0,0
Angola,Zimbabwe,1,1
Egypt,South Africa,1,0
Uganda,Tanzania,1,1
Nigeria,Tunisia,3,2
Benin,Botswana,1,0
Senegal,DR Congo,1,1
Algeria,Burkina Faso,1,0
Equatorial Guinea,Sudan,0,1
Gabon,Mozambique,2,3
Ivory Coast,Cameroon,1,1
Comoros,Mali,0,0
Zambia,Morocco,0,3
Zimbabwe,South Africa,2,3
Angola,Egypt,0,0
Uganda,Nigeria,1,3
Tanzania,Tunisia,1,1
Botswana,DR Congo,0,3
Benin,Senegal,0,3
Equatorial Guinea,Algeria,1,3
Sudan,Burkina Faso,0,2
Mozambique,Cameroon,1,2
Gabon,Ivory Coast,2,3